experiment_id,timestamp,target_host,target_port,register_written,raw_value_written,write_accepted,baseline_registers,final_registers,baseline_alarm_code,final_alarm_code,alarm_state_changed,time_to_alarm_change_s,attack_success
01-modbus-control,1787288208.0973356,plc,5020,6,1000,True,"[720, 450, 687, 1500, 313, 0, 450]","[720, 690, 1054, 1712, 480, 1, 1000]",0,1,True,6.06,True
01-modbus-control,1787289704.975939,plc,5020,6,1000,True,"[720, 450, 687, 1500, 313, 0, 450]","[720, 690, 1054, 1712, 480, 1, 1000]",0,1,True,6.07,True
01-modbus-control,1787308948.8364117,plc,5020,6,1000,True,"[720, 450, 687, 1500, 313, 0, 450]","[720, 690, 1054, 1712, 480, 1, 1000]",0,1,True,5.56,True
